Auteur;P1;Ecole_pays_1;P_Dates;Id
A L'IMAGE NOTRE DAME;;FRANCE;;6487
A P;;FRANCE, SEVRES;;2999
ABAQUESNE MASSEOT;cherbourg, 1500 vers, sotteville-lès-rouen, 1564, nationalité : française;FRANCE;1500-1564;3188
ADAM ELIAS;né en 1669, mort en 1745;ALLEMAGNE;1669-1745;6825
ADZAK ROY;;;;5183
AGOSTINO VENEZIANO;;;;3024
ALFRED HANS;- 1881 alfred hans succède à pelletier. - 1899 achat de balin - 1893 achat de danois et vitry - 1913 achat de buzin, la manufacture est alors installée boulevard voltaire à paris. - 1928 décès d'alfred hans, son fils gaston lui succède. la raison sociale devient ' alfred hans et fils '. la manufacture édite ses propres modèles et travaille à façon pour divers éditeurs. - 1969, fermeture de la manufacture.;;1881-1899-1893-1913-1928-1969;7240
ALLAN COCKSHUT & CO;- fondation en 1812 à londres par john allan avec william parry - parry & allan nom jusqu'en 1825. #- john allan & son - 1846-1847 acquisition de machines et transfert à old ford. #- 1872 construction d'un nouveau bâtiment pour 4 machines. #- 1888 départ en retraite du dernier frère allan et achat par les frères cockshut. la firme prend le nom de allan, cockshut & co. #- nouveau développement technique et augmentation du personnel de 140 à 600 en 1897. commercialisation du 'lignomur' puis 'old ford lincrusta' (qui deviendra ensuite 'lincrusta walton' lors du transfert de fabrication à sunbury). #- 1899 fusion avec la société the wall papers manufactures ltd. source : sudgen-edmonson1925, nationalité : anglaise;GRANDE-BRETAGNE;1812-1825-1846-1847-1872-4-1888-140-600-1897-1899-1925;7243
ALOJA GIUSEPPE;actif au 18e siècle#vanni : ?, 1757, ?, 1792;ITALIE;18-1757-1792;5811
ALSACIEN;;;;7499
ALUMINIA;;;;6827
ANDRE ALICE;femme;FRANCE,NEVERS;;892
ANGLEJEAN ANTOINE JOSEPH D';paris, 1793, autun, 1843;;1793-1843;918
ANONYME;pieve di cadore, 1490, venise, 1576-08-27;FRANCE;1490-1576-08-27;6527
ANTOINE HUGUES FRANÇOIS;;;;914
ANTOMMARCHI FRANÇOIS;corse, 1780 (vers), cuba, 1838;;1780-1838;7501
AQUILA FRANCESCO FARAONE;?, 1676, ?, 1740;ITALIE;1676-1740;6005
ARMENGAUD;- 1865 création par reprise de délicourt - 1867 : maison hoock frères médaille d'or à l'exposition universelle de paris - 1868 à 1892 : adresse 167 et 169 rue de charenton - 1873 médaille de progrès à vienne - 1878 et 1889 médaille d'or aux expositions universelles à paris - fonds repris en 1893 par fausse & cie, puis en 1894 par buzin, nationalité : française#librairie charles delagrave : ?, 1865, ?, 1995, 15 rue soufflot à paris;FRANCE;1865-1867-1868-1892-167-169-1873-1878-1889-1893-1894-1865-1995-15;7502
ARTHUR & GRENARD;française#boucher : paris, 1703, paris, 1770#daulle : abbeville (80), 1703, paris, 1763;FRANCE;1703-1770-80-1703-1763;2627
ARTHUR & ROBERT;;;;2581
ARTHUR SANDERSON AND SONS LTD;- 1860 : installation à londres d'arthur sanderson comme revendeur de papier peint, en particulier importateur de produits français. - 1868-1869 : débute une activité d'éditeur de papier peint qu'il fait imprimer à la planche par des manufactures anglaises. - 1879 : construction d'une usine à chiswick (londres). - 1881 : trois de ses fils rejoignent l'entreprise qui se nomme désormais arthur sanderson & sons. - 1882 : mort du fondateur. - 1892-93 : construction de la quatrième usine à chiswick. début de collaboration avec des designers extérieurs tels a.f. brophy, christopher dresser, george haité, the silver studio et c.f.a. voysey., nationalité : anglaise;GRANDE-BRETAGNE;1860-1868-1869-1879-1881-1882-1892-93;7503
ATELIER DE LIMOGES;;FRANCE;;7511
ATELIER RUEPP;;;;2933
ATELIER YOSHIDA;;JAPON;;3064
AU CHINOIS;;;;9295
AUBERT FELIX;;;;9297
AUBRY LOUIS FRANÇOIS;paris, 1767, paris, 1851, nationalité : française;FRANCE;1767-1851;6390
AUBUSSON;;;;6632
AUDRAN BENOIT I;lyon, 1661, paris, 1721;FRANCE;1661-1721;6301
AUGER PIERRE;?, ?, sens, 1758, nationalité : française;FRANCE;1758;1547
AUGUSTE ROBERT JOSEPH;mons, 1723, ?, 1805;;1723-1805;7512
AVISSE GUILLAUME;menuisier parisien du 18e siècle;FRANCE;18;6704
AZAMBOURL J;;;;318
BACHELET;orfèvre en 'grosse orfèvrerie' etabli 58 quai des orfèvres, nationalité : française;FRANCE;58;1519
BADALOCCHIO SISTO;badalocchio : parme, 1585, parme, 1647 ,#vaccarius : naples, 1598, naples, 1670;ITALIE;1585-1647-1598-1670;5625
BADOUREAU;;;;7526
BAGARD CESAR;nancy, 1620, nancy, 1709, nationalité : française;FRANCE;1620-1709;1321
BALIN;- 1863 paul balin reprend la manufacture genoux & cie sous la raison sociale allard et balin frères (police d'assurance du 1er août 1863- archives balin) - balin se démarque par l'utilisation de la presse à balancier pour gaufrer ses papiers peints. il dépose de nombreux brevets d'invention. - 1867, exposition universelle de paris, médaille de première classe. - 1873 exposition universelle de vienne, grand diplôme d'honneur - 1898 inventaire avant saisie : 211 dessins à plaques cuivre, 156 bordures à estamper, 243 dessins traditionnels.;FRANCE;1863-1-1863-1867-1873-1898-211-156-243;7520
BAN RINSAI;;;;9139
BAQUOY FAMILLE;;;;5883
BARADELLE JACQUES;?, 1701, actif jusqu'en 1770;;1701-1770;903
BARBEDIENNE FERDINAND;?, 1810, ?, 1892#collas : ?, 1795, ?, 1859;;1810-1892-1795-1859;2113
BARBIE JACQUES;actif de 1755 à 1790;FRANCE;1755-1790;6101
BARTHELEMY RAYMOND;toulouse, 1833, paris, 1902, nationalité : française#chapu : le mée, 1833, paris, 1891;FRANCE;1833-1902-1833-1891;3180
BARYE ANTOINE LOUIS;paris, 1795, paris, 1875;FRANCE;1795-1875;7523
BASCHELET LOUIS;;;;1519
BASTARD MARC AUGUSTE;;;;8246
BATAILLE MICHEL PIERRE;orléans, 1752, orléans, 1816;FRANCE;1752-1816;2179
BAYARD;?, 1896, ?, 1902#duverdrey & bloquel : ?, 1902, ?, 2 décembre 1916#societe des anciens etablissements duverdrey et bloquel : ?, 1916, ?, 2e moitié 20e siècle;;1896-1902-1902-2-1916-1916-2-20;6775
BAYLE PIERRE;aigues-vives, 3 juin 1945, béziers, 18 mars 2004;;3-1945-18-2004;7524
BAYSER MARGUERITE DE;marbres, onyx et diverses pierres rares. en 1925, marguerite de bayser-gratry exposa aux arts décoratifs dont elle reçut le grand prix. pompon et despiau l'associèrent à certains de leurs travaux. elle participa alors, avec succès, à tous les grands salons et expositions internationales. la légion d'honneur lui fut décernée en 1937 et elle reçut la médaille de vermeil de la ville de paris en 1966. fidèle à la société des artistes français, elle y fut membre du jury. sa gazelle du square henri bataille à paris est une belle illustration de son talent;FRANCE;1925-1937-1966;6841
BEAUTIRAN JP MEILLIER & CIE;;;;6401
BECHARD JEAN FRANÇOIS;orléans, 1750, orléans, 1824;FRANCE;1750-1824;2193
BECQUET;;;;7986
