Auteur;P1;Ecole_pays_1;P_Dates;Id
A;;;;11803
A H & CIE;;;;25367
A L;;;;30921
A P;;FRANCE, SEVRES;;19139
A V L;;;;30923
ABAQUESNE LAURENT;;FRANCE,ROUEN;;26412
ABAQUESNE MASSEOT;cherbourg, 1500 vers, sotteville-lès-rouen, 1564, nationalité : française;FRANCE;1500-1564;19404
ACIER MICHEL VICTOR;?, 1736, ?, 1799, nationalité : française#manufacture de meissen : albrechtsburg, 1710, ?;FRANCE,ALLEMAGNE;1736-1799-1710;18977
ADAM VICTOR;Les faïenceries de creil et montereau fusionnent en 1840 et produisent des céramiques similaires jusqu'à la fermeture de la faïencerie de creil en 1895;;1840-1895;28884
AGUTTE GEORGETTE;Paris, 1867, chamonix-mont-blanc (haute-savoie), 1922, femme, nationalité française;FRANCE;1867-1922;14669
AILLOT;;;;21076
AISON;L'amphore est attribuée au peintre aison par j. d. beazley. ce peintre, contemporain du peintre d'erétrie, maître du peintre de meidias, semble actif à athènes durant le dernier tiers du vème siècle av jc aison est connu par une signature sur une coupe du musée archéologique de madrid (inv. 11265), représentant les exploits de thésée. c'est à partir de ce point de départ qu'un ensemble de vases lui est attribué. son style, teinté par le classicisme parthénonien, se caractérise par des figures clairement espacées, plastiques et par le naturel vivant de leur attitude. il cultive aussi un certain goût pour les diagonales vigoureuses dans des scènes de combats où les protagonistes demeurent toujours bien lisibles les uns par rapport aux autres. le vase du musée condé est une heureuse illustration de ses productions, exportées jusqu'en italie du sud.;;11265;30906
AKAN;;;;30972
ALAPHILIPPE FERDINAND;Verneuil-sur-igneraie, 1880, paris, 1910;FRANCE;1880-1910;9437
ALBERT E;fusionnent en 1840 et produisent des céramiques similaires jusqu'à la fermeture de la faïencerie de creil en 1895, dénomination 'creil et montereau' conservée jusqu'en 1920;;1840-1895-1920;29615
ALLUAUD EUGENE;1866, 1947;;1866-1947;30925
ALPHONSINE;;FRANCE,NEVERS;;2103
ANDRE ALICE;femme;FRANCE,NEVERS;;2097
ANDRE JULES;;;;11522
ANDRES;;;;7838
ANGELICO FRA;;;;1601
