Auteur;P1;Ecole_pays_1;P_Dates;Id
17EME SIECLE;;;;237543
?;;;;18161
A B;;;;42414
A M;actif au xixe siècle;;;42664
A P;;;;43621
AACHEN HANS VON;Né en 1552, mort en 1615;ALLEMANDE;1552-1615;122299
AARTMAN ADRIAAN;Né en 1713, mort en 1760;HOLLANDAISE;1713-1760;125199
ABADIE PAUL;bordeaux, 1783, bordeaux, 1868, manufacture de sèvres : fondée en 1756;;1783-1868-1756;59622
ABATE NICOLO DELL;Modène, vers 1509 ou 1512, fontainebleau ou paris, 1571 (?);ITALIE;1509-1512-1571;15660
ABATE NICOLO DELL';Modène, 1509-1512, fontainebleau ou paris, 1571;ITALIE,EMILIE;1509-1512-1571;4885
ABBAL ANDRE;;FRANCE;;236901
ABBATE NICOLO DELL';Modène, 1509-1512, fontainebleau ou paris, 1571;ITALIE,FONTAINEBLEAU;1509-1512-1571;216979
ABBOUD SHAFIC;Bikfaya, 1926, paris, 2004;FRANCE,LIBAN;1926-2004;37895
ABEELE JODOCUS SEBASTIAEN VAN DEN;Gand, 1797, gand, 1855;FLAMANDE;1797-1855;106062
ABEILLE JACQUES;;FRANCE;;236922
ABEL DE PUJOL ALEXANDRE DENIS;valenciennes, 1785, paris, 1861;FRANCE;1785-1861;13555
ABEL MME;;FRANCE;;236923
ABINGTON LORD;;ANGLETERRE;;236924
ABIRACHED ZEINA;;;;236926
ABRAHAM TANCREDE;vitré, 1836-01-07, paris, 1895-04-10, nationalité : française;FRANCE;1836-01-07-1895-04-10;39937
ACHARD ANDRE;;;;48185
ACHARD JEAN;;FRANCE;;237017
ACHART;Achart ou achard;FRANCE;;233798
ACHENER MAURICE VICTOR;Mulhouse, 1881, courbevoie, 1963;FRANCE;1881-1963;7477
ACKERMANN & CO;;;;219436
ACKERMANN JOHANN ADAM;;ALLEMAGNE;;237021
ACQUA CESARE DELL;Né en 1821, mort en 1904;ITALIENNE;1821-1904;95960
ADAM;;;;62112
ADAM FRANÇOIS;Paris, ?;FRANCE;;5891
ADAM HENRI GEORGES;Paris, 1904, perros-guirec (côtes-d'armor), 1967, nationalité française;FRANCE;1904-1967;48662
ADAM VICTOR;Paris, 1801, viroflay, 1866;FRANCE;1801-1866;37387
ADAM VICTOR JEAN;;FRANCE;;237023
ADAM VICTOR JEAN VINCENT;Né en 1801, mort en 1866;FRANCAISE;1801-1866;83779
ADAMI VALERIO;Bologne, 1935;ITALIE;1935;18017
ADAN EMILE;;;;47197
ADAN LOUIS;;;;47197
ADLER JULES;Né en 1865, mort en 1952;FRANCAISE;1865-1952;190195
ADNET FRANÇOISE;paris, 1924, femme, auteur de décors à sèvres en 1950, manufacture de sèvres : fondée en 1756;;1924-1950-1756;73187
ADOUR P;;;;10803
ADRION LUCIEN;Strasbourg, 1889, paris, 1953;FRANCE;1889-1953;6678
AEBAECHER ANDRE;?, ?, mort en 1953, nationalité : française;FRANCE;1953;39680
AEGERI CARLE VON;;;;16606
AESCHBACHER ARTHUR;;;;33056
AFFRY ADELE D';;;;239590
AGARD CHARLES;?, 1866, ?, 1950, élève aux beaux arts de bonnat puis de puvis de chavannes, e. carrière et roll. nombreux paysages du limousin et de l'ile de france, nombreuses et délicates natures mortes et portraits, oeuvres dans les collections de l'etat, du duc de gramont, comte potocki etc ... a habité allée pacot à nesles la vallée où il décède en 1950;FRANCE;1866-1950-1950;232998
AGASIAS D'EPHESE;;;;47339
AGELLIO GIUSEPPE;Né vers 1570, documenté en 1650;NAPOLITAINE,SICILIENNE;1570-1650;120895
AGLIO DOMENICO TOMMASO DIT IL GOBBO;;;;237543
AGOLINI BRUNO;;;;35077
AGOSTINO VENEZIANO;;;;46089
AGRAPART;auteur de décors à sèvres en 1950, manufacture de sèvres : fondée en 1756;;1950-1756;73629
AGRESTI LIVIO;Né vers 1508, mort en 1579;ROMAINE,OMBRIENNE;1508-1579;116825
AGRICOLA CHRISTOPH LUDWIG;ratisbonne (allemagne), 1667, ratisbonne (allemagne), 1719;ALLEMAGNE;1667-1719;49076
AGUILA C J E H D';Documenté en 1794  - 1815, officier du génie, voyageur et historien. mort à paris.;FRANCAISE;1794-1815;88644
AGUILELLA HENRI;;FRANCE;;237032
