Auteur;P1;Ecole_pays_1;P_Dates;Id
?;;;;27591
???;;FRANCE;;40303
A;;;;30195
A B;;FRANCE;;35372
A B R;;FRANCE;;35520
A Y E F;;ESPAGNE;;14740
AACHEN HANS VON;cologne, 1532, prague, 1615;;1532-1615;16065
ABADIA JUAN DE LA;?, 15e siècle, ?, ?, nationalité : hispanique, peintre actif entre 1470 et 1500;ESPAGNE;15-1470-1500;14654
ABASCAL CARLOS;?, 1871, ?, 1948;ESPAGNE;1871-1948;14752
ABATE NICCOLO DELL;modène, 1509 ou 1512 - fontainebleau, 1571, giovanni di lutero, dit san giovanni del dosso (?), mantoue, vers 1489-90 - ferrare, 1542;ITALIE;1509-1512-1571-1489-90-1542;40307
ABATE NICOLO DELL';;;;74158
ABAUZA CARLOS DE;;ESPAGNE;;40308
ABBATE CICCIO;;;;65924
ABBATE NICOLO DELL';Modène, vers 1509 ou 1512, fontainebleau ou paris, 1571 (?);ITALIE;1509-1512-1571;849
ABBEMA LOUISE;etampes, 1858-10-30, paris, 1927-07-10, femme;FRANCE;1858-10-30-1927-07-10;10156
ABBOUD SHAFIC;Bikfaya, 1926, paris, 2004;FRANCE,LIBAN;1926-2004;21172
ABEELE JODOCUS SEBASTIAEN VAN DEN;Gand, 1797, gand, 1855;;1797-1855;23820
ABEL DE PUJOL ALEXANDRE DENIS;Valenciennes, 1787, paris, 1861;FRANCE;1787-1861;16265
ABEL DE PUJOL PIERRE ALEXANDRE FILS;menzel-schwand, 1806, francfort, 1873;FRANCE,ALLEMAGNE;1806-1873;24111
ABEL FRANÇOIS BARTHELEMY MARIUS;marseille, 1832, paris, 1870;FRANCE;1832-1870;40167
ABEL MARIUS;;FRANCE;;40329
ABEL TRUCHET;?, 1857, ?, 1918;FRANCE;1857-1918;40333
ABEL TRUCHET LOUIS;versailles, 1857-12-29, auxerre, 1918-09-09;FRANCE;1857-12-29-1918-09-09;23759
ABIDINE DINO;Istanbul, 1913, paris, 1993;TURQUIE;1913-1993;24966
ABLETT WILLIAM ALBERT;Paris, 1877, londres, 1937;ANGLETERRE;1877-1937;24009
ABRAHAM TANCREDE;;FRANCE;;40334
ABRAMOVITSCH CLAUDE;;;;19137
ABRARD ANNETTE;Grenoble, 1938, femme;FRANCE;1938;1273
ABT ULRICH;;ALLEMAGNE;;40339
ACCARD EUGENE;bordeaux, 1824, paris, 1888;FRANCE;1824-1888;4573
ACCARDI CARLA;Trapani, 1924, femme;ITALIE;1924;3075
ACHARD JEAN;Voreppe, 1807, grenoble, 1884;FRANCE;1807-1884;27530
ACHARD JEAN ALEXIS;voreppe, 1807 (17 avril), grenoble, 1884 (20 octobre);FRANCE;1807-17-1884-20;28350
ACHEN GEORG NICOLAJ;;DANEMARK;;40346
ACHENBACH ANDREAS;;ALLEMAGNE;;40347
ACHENBACH OSWALD;;ALLEMAGNE;;40348
ACHILLE FOULD GEORGES;Asnières, 1865, bruxelles, 1951 août 24, femme;;1865-1951-24;23767
ACHT RENE CHARLES;Bâle, 1920;SUISSE;1920;21174
ACKER EMILE JEAN;?, 20e siècle, ?, 20e siècle;FRANCE;20-20;28351
ACKER JAN VAN DER;;BELGIQUE;;40352
ACKERMAN PAUL;Jassy, 1908, ?, 1981;ROUMANIE,FRANCE;1908-1981;3657
ACLOCQUE PAUL LEON;montdidier, 1834 (19 janvier), ?, ?;FRANCE;1834-19;28354
ADAM EDOUARD;Brie-comte-robert, 1847, le havre, 1929;FRANCE;1847-1929;34481
ADAM EDOUARD MARIE PERE;Brie-comte-robert, 1847, le havre, 1929;FRANCE;1847-1929;32634
ADAM EMILE;;FRANCE;;40353
ADAM HENRI GEORGES;;FRANCE;;40354
ADAM HIPPOLYTE;Paris, 1808, paris, 1853;FRANCE;1808-1853;32372
ADAM RAOUL;châtre (la), 22 juillet 1881, nohant-vic, 12 octobre 1948, nationalité : française;FRANCE;22-1881-12-1948;40355
ADAM VICTOR;;FRANCE;;40357
ADAM VICTOR JEAN;;FRANCE;;40363
ADAMI VALERIO;Bologne, 1935;ITALIE;1935;1756
ADAMSON SYDNEY;;GRANDE-BRETAGNE;;40377
ADAN EMILE;;;;32660
ADAN LOUIS;Paris, 1839, ?,1937;;1839-1937;32660
ADAN LOUIS EMILE;paris, 1839, paris, 1937;FRANCE;1839-1937;4096
ADENET F;;FRANCE;;40378
ADENOT LAURENT;;FRANCE;;40379
ADJADJ R;20e siècle;;20;11121
ADLER JULES;luxeuil, 1865-07-08, nogent-sur-marne, 1952-06-11, nationalité : française;;1865-07-08-1952-06-11;20856
ADNET FRANÇOISE;;FRANCE;;40387
ADO;;JAPON;;40388
ADO SATO;;;;40388
ADOUARD ALBERT JULES;;FRANCE;;75343
ADRIAENSSEN ALEXANDER;Anvers, 1587, anvers, 1661;FLANDRES;1587-1661;16454
ADRIAENSSEN VINCENT;courtrai, 1595, rome, 1675;FLANDRES;1595-1675;9942
ADRIAN PIC;;;;26403
ADRION LUCIEN;Strasbourg, 1889, paris, 1953;FRANCE;1889-1953;1758
ADVINENT ETIENNE LOUIS;lyon, 1767, versailles, 1831, nationalité : française;FRANCE;1767-1831;30999
AELST WILLEM VAN;delft, 1625-1626, amsterdam, 1683, nationalité : hollandaise;;1625-1626-1683;17847
AERTGEN VAN LEYDEN;;;;16620
AERTSEN PIETER;amsterdam, 1508, amsterdam, 1575-06-03;;1508-1575-06-03;20146
AERTVELT ANDRIES VAN;Anvers, 1590, anvers, 1652, homonyme de artveld van andries;FLANDRES;1590-1652;16592
AGACHE ALFRED;Lille, 1843, lille, 1915;FRANCE;1843-1915;16278
AGACHE ALFRED PIERRE;lille, 1843-08-29, cour-cheverny, 1915-09-05, nationalité : française;;1843-08-29-1915-09-05;20927
AGAM;Rishon le-zion (palestine sous mandat britannique), 1928, nationalité israélienne;ISRAEL;1928;26389
AGAR JACQUES D';;FRANCE;;40404
AGARD CHARLES;?, 1866, ?, 1950, élève aux beaux-arts de bonnat puis de puvis de chavannes, e. carrière et roll. nombreux paysages du limousin et de l'ile de france, nombreuses et délicates natures mortes et portraits, oeuvres dans les collections de l'etat, du duc de gramont, comte potocki etc ... a habité allée pacot à nesles la vallée où il décède en 1950;FRANCE;1866-1950-1950;36510
AGASSE JEAN LAURENT;;SUISSE;;40405
AGNOLO DI DOMENICO DEL MAZZIERE;;ITALIE,FLORENCE;;40406
AGOSTINI HUBERT;;;;25224
AGOSTINO CARRACCI;1557, 1602;ITALIE;1557-1602;41274
AGUAYO FERMIN;sotillo de la ribera, 1926, paris, 1977;ESPAGNE;1926-1977;5960
AGUIAR;;CUBA;;40408
AGUIAR COMTE D';;;;61794
AGUILELLA HENRI;;FRANCE;;40410
AGUTTE GEORGETTE;paris, 1867, mai, 17, chamonix, 1922, septembre, 04, femme, nationalité : française;;1867-17-1922-04;28204
AIFFRE RAYMOND RENE;Rodez (aveyron), 1806, paris, 1867, nationalité française;FRANCE;1806-1867;27135
AIFFRE RENE RAYMOND;Rodez (aveyron), 1806, paris, 1867, nationalité française;FRANCE;1806-1867;13245
AIGUIER AUGUSTE;;FRANCE;;40411
AILLAUD ANTOINE ALPHONSE;;FRANCE;;40422
AILLAUD GILLES;Paris, 1928, paris, 2005;FRANCE;1928-2005;1762
AILLAUD SIMONE;;FRANCE;;40424
AITA DE LA PENUELA MATHILDE;La havane (cuba), 19e siècle, ?, femme;FRANCE;19;1
AIZELIN SOPHIE;;;;39910
AIZPIRI PAUL;Paris, 1919;FRANCE;1919;25729
AKKERINGA JOHANNES;Ile de banka (indonésie), 1864, ameresfoort (nl), 1942;HOLLANDE;1864-1942;38076
ALA EL DINE ABDELLATIF;;EGYPTE;;40429
ALAUX;;;;4019
ALAUX FANNY;;FRANCE;;40430
ALAUX GUILLAUME;;FRANCE;;40432
ALAUX GUSTAVE;Bordeaux, 1887, paris, 1965;FRANCE;1887-1965;34478
ALAUX JEAN;bordeaux, 1785, paris, 1864, nationalité : française;FRANCE;1785-1864;31284
ALAUX JEAN PAUL;;FRANCE;;40434
ALAUX JEAN PIERRE;;FRANCE;;40439
ALAUX JEANNE;;FRANCE;;40550
ALBAN DE LESGALLERY JEAN JACQUES;;FRANCE;;40551
ALBANI FRANCESCO;bologne, 1578-03-17, bologne, 1660-10-04;ITALIE;1578-03-17-1660-10-04;19112
ALBANO LUDOVICO;?, nationalité : italienne;;;15982
ALBERGE PIERRE;montpellier, ?, ?, ?;FRANCE;;40569
