Auteur;P1;Ecole_pays_1;P_Dates;Id
?;;;;25923
A A;;;;24751
A B;Éditeur à soissons;;;27860
A B & CIE;cité comme photographe, libraire et débiteur de tabacs à nuits-saint-georges (21) de 1915 à 1920-21 dans l'annuaire fournier;;21-1915-1920-21;8570
A C;;;;20710
A D;;;;18134
A D I A;;;;15244
A G;;;;17298
A H;;;;11718
A L PARIS;;;;26858
A LA CIVETTE;;;;24621
A LA MENAGERE;;;;17549
A M;;;;15419
A M B;;;;19684
A M I E;;;;18236
A N;;;;11761
A O;;;;15252
A P;;;;17646
A P M;;;;19712
A R;;;;25114
A W;;;;20418
ABADIE P;;;;17430
ABATE NICOLO DELL;Né entre 1509-1512, mort vers 1571;LOMBARDE;1509-1512-1571;23589
ABBOTT BERENICE;Springfield, 1898, manson, 1991, femme;ETATS-UNIS;1898-1991;1702
ABBOU W;;;;25010
ABC;;;;13575
ABEIL;;;;15360
ABEL;;;;15437
ACADEMIE DE MOUSTIERS;;;;15158
ACHENER MAURICE VICTOR;Mulhouse, 1881, courbevoie, 1963;FRANCE;1881-1963;3436
ADAM SALOMON ANTOINE SAMUEL;Ferté-sous-jouarre, 1818, paris, 1881;FRANCE;1818-1881;2159
ADBRAUN & CIE;;;;35688
ADZEL HAERDE KRIS;;;;33081
AERO PHOTO;;;;11563
AGAZZI GIAN MARCO;Bergame (italie), 1954;;1954;11168
AGELOU;;;;18369
AGENCE NATIONALE DES VOYAGES;;;;15910
AGFA;;;;35964
AGISSON A;;;;8697
AGNEL;;;;21113
AGNETTI VINCENZO;milan, 1926, milan, 1981, nationalité : italienne;;1926-1981;11957
AGRE;;;;36139
AGRE GENOVA;;;;36140
AGUADO COMTE OLYMPE;Paris, 1827, compiègne, 1894;FRANCE;1827-1894;1561
AGUADO DE LAS MARISMAS OLYMPE;;;;1851
AGUADO ONESIPE;?, 1831, ?, 1893;;1831-1893;13192
AGUET;;;;28611
AGUET VVE;;;;27094
AILLAUD;;;;15224
ALAMY;;;;14806
ALARY RUELLE F;;;;24803
ALBERT J;?, ?;;;2964
ALBERT JOSEPH;munich, 5 mars 1825, munich, 5 mai 1886, nationalité : allemande#van dyck : anvers, 1599, blackfriars, 1641;;5-1825-5-1886-1599-1641;33083
ALBERT M;;;;14921
ALBIN GUILLOT LAURE;Paris, 1879, nogent-sur-marne, 1962, femme;FRANCE;1879-1962;1834
ALBIN LAURE;;;;1836
ALESSANDRI FRERES D';;;;24073
ALEXIS;;;;8741
ALFA;;;;19460
ALINARI FRERES;;;;1616
ALIX N;;;;24826
ALLEMAND A;;;;15357
ALLONGE AUGUSTE;?, 1833, ?, 1898, thiel ainé & cie;;1833-1898;33084
ALLUAUD EUGENE;saint-martin-terressus, 25 mars 1866, crozant, 27 juillet 1947, nationalité : française;FRANCE;25-1866-27-1947;33085
ALMANACH VERMOT;;;;15727
ALMAYRAC E;;;;16296
ALMOND DARREN;grande-bretagne, 1971;;1971;12103
ALOPHE MARIE ALEXANDRE;Paris, 1812, paris, 1883;FRANCE;1812-1883;0
ALP HOTEL;;;;15263
ALSELANDT MANUEL;;;;16441
ALVAREZ LUIS;;;;33087
AMAN JEAN EDMOND FRANÇOIS;Né en 1858, mort en 1936;FRANCAISE;1858-1936;23597
AMAT C;;;;17555
AMBROSETTI GIUSEPPE;1841, 1897, photographe du roi d'italie, actif à nice et à turin;ITALIE;1841-1897;26280
AMIOT L;;;;20223
AMIS DES ORATOIRES;;;;15103
AMIS DU VIEUX CAGNES;;;;15701
AN PARIS;;;;18369
ANCELY GEORGES;toulouse, 1847, toulouse, 1919, nationalité : française;FRANCE;1847-1919;10906
ANCIEN BERNARD;;;;27495
ANCRE MARINE;;;;11631
ANDOUARD;;;;17207
ANDRE;;;;13969
ANDRIEU;;;;21000
ANDRIEU JEAN;?, 1816, ?, 1872;FRANCE;1816-1872;33088
ANGERER LUDWIG;1827, 1879, photographe de la cour d'autriche;AUTRICHE;1827-1879;1
ANGLARET;;;;9514
ANGUIER;;;;14714
ANNET VEYSSIERE;;;;17711
ANOMYME;;;;33096
ANONYME;Editions de luxe era (éditeur), ed. de luxe era. 1 boul voltaire. narbonne, editions frayssinet;FRANCE;1;36174
ANQUETIL;;;;17747
ANSALDI;;;;15309
ANSARD R;Verez georges (1877-1933), colin alfred (1870-?);;1877-1933-1870;24632
ANSCHUTZ OTTOMAR;?, 1846, ?, 1907#baden-pritchard henry : #boissonnas : #borderia a : #dreesen wilhelm : #gale j : #graf esterhazy : ?, ?, nationalité :allemagne#hadley g : #lugardon albert : rome, 1827, genève, 1909, nationalité :suisse#newton henry jotham : ?, 1823, ?, 1895#schuster r : #taschler-signer : #uhlenhut eduard : ?, 1821, ?;ALLEMAGNE,SUISSE;1846-1907-1827-1909-1823-1895-1821;3952
ANTONINI VVE;;;;16763
APA;;;;17682
APA POUX;;;;17556
APM;;;;18839
APPELT DIETER;Niemegk, 1935;ALLEMAGNE;1935;1382
APPERT E;;FRANCE;;2
APPERT EUGENE;?, 1830, ?, 1904;;1830-1904;2170
APRIS CH;;;;18597
AQUA PHOTO;Aqua photo paris;FRANCE;;33190
ARCHIVES PHOTOGRAPHIQUES D'ART ET D'HISTOIRE;?, actif au 20e siècle, ?, ?, nationalité : française;;20;33195
ARDOIN;;;;24928
ARGRA;Argra toulouse, edition réservée de l'eglise de la collégiale;FRANCE;;33197
ARGUS PHOTO;;;;27553
ARIZA CH;;;;33198
ARLAUD G L;;;;18163
ARLIX;;;;15174
ARMIEUX;;;;18595
ARMONI L;;ITALIE;;1639
ARNAUD;;;;15207
ARNAUD B;;FRANCE;;32893
ARNAUDIN FELIX;labouheyre, 1844-05-30, labouheyre, 1921-12-06, nationalité : française;;1844-05-30-1921-12-06;4326
ARNAUDON R;;;;8700
ARNAULT;;;;11675
ARNOLD JULES;Colmar, 1887, colmar, 1958;FRANCE,ALLEMAGNE;1887-1958;1474
ARNOUX CHARLES ALBERT D';;;;2151
ARNOUX VVE;;;;15655
ARNULPHY CLAUDE;;;;18906
ARQUIER;;;;19013
ARRER;;;;24702
ARSAL EUGENE RENE;;;;24628
ART & MOZAR;;;;17840
ARTAUD & NOZAIS;;;;19487
ARTAUD G;;;;14686
ARTAUD GABRIEL;Actif jusqu'en 1966 mention 'gaby';;1966;25854
ARTAUD PERE & FILS;;;;17658
ARTIGAS FRANCISCO;Paris, 1950;;1950;11116
ARTIGE;;;;17075
ARTIGE FILS C;;;;15366
ARTIS;;;;17745
ARTISTES PAYSAGISTES;;;;33201
ARTISTIC;6, rue du cotentin, paris (75);;6-75;24898
ARTISTIQUE SUPRA;;;;29426
ARTS GRAPHIQUES;;;;15385
ARVET;;;;24727
ARY;;;;15312
ARYCHROME;;;;19249
ASCOLINI VASCO;Reggio d'emilie, 1937;ITALIE;1937;3773
ASPER;;;;26836
ASSALEIX;;;;36016
ASSO POL;;;;15336
ASSOCIATION SANITAIRE APICOLE DEPARTEMENTALE DE L'AISNE;;;;27476
ASTOIN A;;;;15135
ASTRUC A;;;;20737
AT;;;;17483
ATELIER BEATO;;;;3210
ATELIER D'ART PHOTOGRAPHIQUE;;;;25800
ATELIER DE JERSEY;;;;13963
ATGET EUGENE;Libourne, 1857, paris, 1927;FRANCE;1857-1927;1837
ATGET JEAN EUGENE AUGUSTE;;;;1839
ATKINSON;;;;8366
AUBAN PAUL CHARLES;;;;24648
AUBANEL FRERES;;;;33921
AUBERT;;;;11671
AUBERT ANDRE;Valence, 1946;FRANCE;1946;13325
AUBERT E;;;;36018
AUBERT F;;;;18880
AUBERT LETELLIER;;;;19458
AUBIN J;;;;8926
AUBRY;;;;27029
AUCLAIR;;;;14863
AUCLAIR G & A;;;;14805
AUDBERT;anvers, 1610, bruxelles, 1690;;1610-1690;18907
AUDISIO JACQUES;;;;13099
AUDRY;;;;18092
AUDY JONNY;;;;23930
AUGEROT J P;;;;15704
AUTARD GEORGES;Cannes, 1951;FRANCE;1951;33202
AUTOTYPE COMPANY;;GRANDE-BRETAGNE;;1116
AUTRAN;;;;15220
AUVIGNE;;;;15304
AUX VIEUX LIVRES;;;;17502
AUZOU;;;;32955
AUZOUX G;;;;32885
AYON YVE;;;;36019
AZUR;;;;15775
AZURCOLOR EDITIONS SARL;;;;36021
B & G;;;;15181
B B;;;;36031
B B J;;;;11469
B D;;;;24876
B F;B f chalon-sur-saône;FRANCE;;33211
B F S G;;;;14730
B I;;;;15281
B L D;;;;32884
B P;antibes, 1962, ?, ?, nationalité : française#layrac : monaco, 1962, ?, ?, nationalité : française#rohl : nice, 1962, ?, ?, nationalité : française;;1962-1962-1962;11983
B R;;;;27015
B V;;;;20145
BACHELET EMILE JUST;;;;24631
BACOT EDMOND;Caen, 1814, caen, 1875;FRANCE;1814-1875;13960
BACRO JEAN CHARLES;Paris, 1955, ?, 1990;FRANCE;1955-1990;1427
