Auteur;P1;Ecole_pays_1;P_Dates;Id
A C M;;FRANCE;;11426
ABBAL ANDRE;;FRANCE;;21894
ABBEMA LOUISE;;FRANCE;;21896
ABOUGIT JOACHIM SIMON;;FRANCE;;21897
ABSALON;Ashdod (israël), 1964, paris, 1993, nationalité israélienne et française;ISRAEL,FRANCE;1964-1993;14341
AC;;FRANCE;;18077
ACCONCI VITO;New york, 1940;ETATS-UNIS;1940;13113
ACHARD JEAN ACHILLE;;FRANCE;;21900
ACHARD JEAN GEORGES PIERRE;;FRANCE;;21901
ACKLING ROGER;Londres (royaume-uni), 1947, ?, 2014, nationalité britannique;GRANDE-BRETAGNE;1947-2014;14321
ADAM GREGOIRE JOSEPH;Valenciennes, 1737, valenciennes, 1820;FRANCE;1737-1820;470
ADAM HENRI GEORGES;Paris, 1904, perros-guirec (côtes-d'armor), 1967, nationalité française;FRANCE;1904-1967;14233
ADAM L'AINE;;;;20804
ADAM LAMBERT SIGISBERT;Nancy, 1700, paris, 1759;FRANCE;1700-1759;20804
ADAM LE JEUNE;;;;661
ADAM NICOLAS SEBASTIEN;nancy, 1705, paris, 1778;FRANCE;1705-1778;661
ADAM SALOMON ANTONY SAMUEL;Adam-salomon (antony-samuel), né à la ferté-sous-jouarre (seine-et-marne) en 1818, mort le 28 avril 1881 à paris. lami, dictionnaire des sculpteurs de l'école française, tome 1, p. 2.;;1818-28-1881-1-2;16352
ADAM TESSIER MAXIME;rouen, 1920, paris, 2000;FRANCE;1920-2000;5331
ADZAK ROY;;;;8756
AFFOLTER ANDRE;;;;6815
AFFRY ADELE D';;;;305
AGAM;Rishon le-zion (palestine sous mandat britannique), 1928, nationalité israélienne;ISRAEL;1928;14235
AGNONE THIERRY;Nice, 1964;FRANCE;1964;6923
AGNUS GERMAINE;Paris, 1893, 1983 (?), femme;FRANCE;1893-1983;12804
AGUTTE GEORGETTE;Paris, 1867, chamonix-mont-blanc (haute-savoie), 1922, femme, nationalité française;FRANCE;1867-1922;14293
AHORN LUKAS;;;;3668
AIX LA CHAPELLE JEAN D';;;;4479
AIZELIN EUGENE ANTOINE;Paris, 1821, paris, 1902;;1821-1902;13238
ALAPHILIPPE CAMILLE;1874, ?;FRANCE;1874;8567
ALBERT LEFEUVRE LOUIS ETIENNE MARIE;paris, 19e siècle, ?, ?, nationalité : française;FRANCE;19;5436
ALBICKER KARL;Uhlingen, 1878, ettlingen, 1961;REPUBLIQUE FEDERALE D'ALLEMAGNE;1878-1961;1728
ALCAMENE;;;;21920
ALDEBERT EMILE;;FRANCE;;21921
ALDO;Sète (hérault), 1962;;1962;10167
ALFRED D'ORSAY;;;;15985
ALLAR ANDRE;Toulon 1845 - toulon 1926;;1845-1926;21925
ALLAR ANDRE JOSEPH;Toulon, 1845, toulon, 1926;FRANCE;1845-1926;8538
ALLASSEUR JEAN JULES;Paris, 1818, paris, 1903;FRANCE;1818-1903;18218
ALLEGRAIN CHRISTOPHE GABRIEL;Paris, 1710, paris, 1795;FRANCE;1710-1795;20737
ALLEGRI ANTONIO;;;;12484
ALLOUARD HENRI;né à paris le 11 juillet 1844 et mort le 11 août 1929.#henri allouard est un peintre et sculpteur français. il est d'ailleurs connu pour ses combinaisons de marbre polychromes et de bronze ou encore pour son travail sur la terre cuite, l'ivoire et les métaux précieux. il s'investit beaucoup dans la vie artistique parisienne du xix° siècle puisqu'il exposera au salon des artistes français de 1865 à 1928 et fera partie du jury de sculpture et des arts décoratifs du salon. il réalise le décor peint du panthéon, de l'opéra ou encore de l'hôtel de ville de paris. il est enfin participant aux diverses expositions universelles telle que celle de 1889 à paris. ses thèmes : la peinture d'histoire, les paysages et les natures mortes. salon des artistes français : exposition d'art qui se tient chaque année à paris. plus ouverte aux idées nouvelles, elle obtient rapidement la faveur de nombreux critiques d'arts et d'amateurs éclairés. collection publique: paris, musée d'orsay, femme de race foulah. bordeaux, musée des beaux-arts, lutinerie. blérancourt, musée national de la coopération franco-américaine, projet de fontaine pour la maison blanche à washington. pau, musée des beaux-arts, bacchus enfant. (mélanie fiol, 2014);;11-1844-11-1929-1865-1928-1889-2014;14048
ALLSOP DOUGLAS;watford, 1943;;1943;4963
ALTMEJD DAVID;Montréal (canada), 1974;;1974;10217
AMADO JEAN;Aix-en-provence, 1922, aix-en-provence, 1995;FRANCE;1922-1995;13855
AMBROSIO LOUIS D';?, 1879, ?, 1946;;1879-1946;1340
AMMANATI BARTOLOMEO;Florence, 1511, florence, 1592;ITALIE;1511-1592;8202
AMMANNATI BARTOLOMEO;;;;8202
AMY JEAN BARNABE;;FRANCE;;21930
ANATCHKOV;Algérie, 1941;FRANCE;1941;10529
ANCILOTTI T;;ITALIE;;22002
ANDRE ALEXIS;;FRANCE;;22003
ANDRE ANTOINE;Mort après 1710;;1710;6796
ANDREOU CONSTANTIN;;GRECE;;22004
ANDRIEU FERDINAND;rodez, 1890, ?, 1975, nationalité : française;FRANCE;1890-1975;8831
ANDRIEU LUCIEN;Montauban-de-luchon, 1875, ?, 1955;;1875-1955;10507
ANDRO FRERES;;;;12137
ANGEL DOMINIQUE;Briançon, 1942;FRANCE;1942;22005
ANGELIS SABATINO;italie, 1838, ?, ?, nationalité : italienne;ITALIE;1838;5664
ANGLADE ALEXANDRE;toulouse, 19e siècle, ?, 1903;;19-1903;5163
ANGUIER FRANÇOIS;paris, 1597, paris, 1656;FRANCE;1597-1656;21321
ANGUIER MICHEL;Eu, 1612, paris, 1686;FRANCE;1612-1686;20821
ANONYME;haarlem, 1380, dijon, 1439, nationalité : anciens pays-bas;FRANCE,BOURGOGNE,FLANDRE;1380-1439;41232
ANSLOT;;FRANCE;;22085
ANTENOR;sculpteur athénien, vie siècle avant jc;;;13672
ANTOINE ETIENNE D';carpentras, 1737, marseille, 1809;;1737-1809;9593
ANTOMMARCHI FRANÇOIS;Corse (?), 1780 vers, cuba, 1838;FRANCE;1780-1838;21826
ANTONY;;;;36229
APARTIS ATHANASE;smyrne, 1899-10-24, athènes, 1972-04-01, élève de antoine bourdelle;GRECE;1899-10-24-1972-04-01;18450
ARBUS ANDRE;;FRANCE;;22088
ARCHIPENKO ALEXANDRE;Kiev, 1887, new york, 1964;ETATS-UNIS,RUSSIE;1887-1964;1729
ARCIS MARC;mouzens, 1655, toulouse, 1739;FRANCE;1655-1739;9735
ARDEN QUIN CARMELO;Rivera (uruguay), 1913, paris, 2010, nationalité uruguayenne;URUGUAY;1913-2010;14695
AREL DOMINIQUE;Vannes, 1947;FRANCE;1947;12805
ARMAN;Nice, 1928;ETATS-UNIS,FRANCE;1928;22092
ARMANCOUR GEOFFROY D';;;;5684
ARMAND AUGUSTE;Nantes, ?;FRANCE;;12835
ARMAND LOUIS;;;;21815
ARMEL BEAUFILS EMILE JEAN;;FRANCE;;22093
ARMLEDER JOHN M;Genève (suisse), 1948, nationalité suisse;SUISSE;1948;14247
ARMLEDER JOHN MICHAEL;;;;14247
ARNAL FRANÇOIS;Valette-du-var, 1924;FRANCE;1924;6869
ARNAUD CHARLES AUGUSTE;La rochelle, 1825, la rochelle, 1883;FRANCE;1825-1883;20166
ARNOLD HENRY;arnold henry né le 8 mars 1879 à paris, mort le 26 mai 1945 à paris. henry arnold fait partie de la 'bande à schnegg' qui oppose au romantisme de rodin le sens de la synthèse et le retour au classicisme hellénistique., h. gounot fondeur à paris;;8-1879-26-1945;16392
ARNOULD JEAN;;;;19897
ARNOUX CLAUDE;;;;18108
ARNOUX GUILLAUME;;;;18095
ARONSON NAOUM;;RUSSIE;;22105
ARP HANS;;;;1738
ARP JEAN;Strasbourg, 1886, bâle, 1966;FRANCE;1886-1966;1731
ART ORIENTE OBJET;;;;10220
ARTEMOFF GEORGES;ouriupinsk, 17-02-1892, revel, 09-07-1965;;17-02-1892-09-07-1965;10412
ARTHUS BERTRAND;;;;23709
ASHANTI;;;;15790
ASPETTI TIZIANO;;ITALIE,VENISE;;10675
ASSELIN PHILIPPE;;FRANCE;;22110
ASSONVILLE D';;;;18285
ASTANIERE EUGENE NICOLAS CLEMENT COMTE D';Paris, 1841, capbreton, 1914, élève de falguière, sculpteur de compositions religieuses, sujets allégoriques, bas-reliefs;FRANCE;1841-1914;17887
ASTOUD LOUISE;;;;36075
ASTRUC ZACHARIE;;FRANCE;;22116
ATELIER DE LA VALLEE DE L'ALLIER;;;;2749
ATELIER DE MOULAGE DES MUSEES NATIONAUX;;;;28781
ATELIER DE PISTILLUS;autun, 1er siècle, autun, 2e siècle;;1-2;2640
ATELIER DE SAINT MAMMES;;;;22129
ATELIER DU CENTRE DE LA GAULE;;;;3004
ATELIER DU JUBE DE LA CATHEDRALE DE STRASBOURG;;;;4274
ATELIER DU MAITRE DU DIPTYQUE DE KREMSMUNSTER;;SAINT EMPIRE ROMAIN GERMANIQUE, RHIN MOYEN,MAYENCE ?;;22169
ATELIER DU TRANSEPT DE LA CATHEDRALE DE STRASBOURG;;STRASBOURG;;4260
ATELIER DU TRANSEPT SUD DE LA CATHEDRALE DE STRASBOURG;;;;4261
ATELIER GUNTERSUMER;databnf) . cité à bâle entre 1489 et 1517.;SUISSE,BALE;1489-1517;22168
ATELIER MAX BLONDAT;;;;24820
ATELIER PERGAMENIEN;;;;22131
ATELIER RHODIEN;;;;22131
ATELIER VAN LIESHOUT;;;;13096
ATELIERS ARVERNES;;;;2555
ATELIERS VIREBENT;;;;9641
ATTENNI;;;;23724
ATTIRET CLAUDE;Dole, 1728, dole, 1804;FRANCE;1728-1804;20809
ATTIRET CLAUDE FRANÇOIS;dole, 1728, dole, 1804, nationalité : française;FRANCE;1728-1804;765
AUBE JEAN PAUL;Longwy, 1837, capbreton, 1916;FRANCE;1837-1916;177
AUBER DANIEL;Actif à partir de 1760. cette statuette, signée auber, pourrait être l'œuvre de daniel auber (ou aubert), peintre et sculpteur du roi et directeur de l'académie de saint-luc, mort vers 1799.;FRANCE;1760-1799;22152
AUBERT PAUL;;FRANCE;;22153
AUBINE JEAN DOMINIQUE;1888 (?);FRANCE;1888;8588
AUDUSSON JEHAN;;FRANCE,ANJOU;;22156
AURELE;paris, 1965, nationalité : française;FRANCE;1965;8835
AUTARD GEORGES;Cannes, 1951;FRANCE;1951;6952
AUVRAY LOUIS;Valenciennes, 1810, paris, 1890;FRANCE;1810-1890;20039
AVISSEAU CHARLES JEAN;tours, 1796, tours, 1861, nationalité : française;FRANCE;1796-1861;22163
AVRAMIDIS JOANNIS;Batum (urss), 1922, nationalité autrichienne (géorgienne à la naissance);AUTRICHE;1922;14237
AVRIL ARMAND;Lyon, 1926;FRANCE;1926;1926
AYME ALBERT;Saint-geniès-des-mourgues, 1920;FRANCE;1920;6895
AYRINHAC A;;FRANCE;;9092
AZ;;;;7873
AZTEQUE;?, 2e siècle avant j.c., ?, 7e siècle;;2-7;13746
B B J;;;;11494
B P;;;;22170
BABIN RENE;Paris, 1919;FRANCE;1919;6943
BACHELIER JEAN JACQUES;;FRANCE;;22171
BACHELIER NICOLAS;?, 1487, ?, 1556, mentionné à toulouse de 1533 à 1555.;;1487-1556-1533-1555;9581
BACQUET PAUL EUGENE VICTOR;;FRANCE;;22172
BADIOU DE LA TRONCHERE JACQUES JOSEPH EMILE;;FRANCE;;22176
BAELEN PETER VAN;Malines, 1ère moitié du 17e siècle;FLANDRES;1-17;17959
BAERZE JACQUES DE;termonde, ?, ?, ?, nationalité : anciens pays-bas#broederlam : ypres, 1355, ypres, 1411, nationalité : anciens pays-bas;FLANDRE;1355-1411;22222
BAFFIER JEAN EUGENE;neuvy-le-barrois (18), 1851-11-18, paris, 1921-04-19;FRANCE;18-1851-11-18-1921-04-19;5942
BAGA;;;;8418
BAIGIOLLI;Mouleur du musée des beaux arts d'angers;;;16387
BAILLY G;;;;16318
BAILLY H;;;;16193
BAILLY LEON;Saint-omer, 1826, (?), élève de cogniet, peintre de portrait;FRANCE;1826;17888
BAIR HANS JACOB;?, 1564, ?, 1628;ALLEMAGNE;1564-1628;7875
BAKKER REMIE;;;;22228
BALDACCINI CESAR;;FRANCE;;22229
BALJEU JOOST;Middelbourg (pays-bas), 1925, amsterdam (pays-bas), 1991, nationalité néerlandaise;PAYS-BAS;1925-1991;14258
BALKENHOL STEPHAN;Fritzlar, 1957;ALLEMAGNE;1957;8732
BALLY THEODORE;Säckingen (suisse), 1896, montreux (suisse), 1975, nationalité suisse;SUISSE;1896-1975;14864
BALME JEAN MARIE JULES;;FRANCE;;22230
BALZER DIETER;neuhofen, 1958, nationalité :autriche#bruch helmut : hall, 1936, nationalité :autriche#dick inge : vienne, 1941, femme, nationalité :autriche#dubreuil jean-françois : tours, 1946, nationalité :france#enzweiler jo : merzig-büdingen, 1934, nationalité :allemagne#erbacher doris : ?, femme#glattfelder hansjörg : zurich, 1939, nationalité :suisse#gommringer eugen : #jouet michel : cholet, 1943, nationalité :france#kammerer-luka gerd : #maier christiane : ?, femme#maurer dora : budapest, 1937, femme, nationalité :hongrie#maury jean-pierre : uccle, 1948, nationalité :belgique#mecarelli adalberto : terni, 1946, nationalité :france, italie (à la naissance)#mohr manfred : pforzheim, 1938, nationalité :allemagne#morellet françois : cholet, 1926, nationalité :france#moutashar medhi : hilla, 1943, nationalité :irak#orlac dimitry : koper, 1956, nationalité :france#pan marta : budapest, 1923, femme, nationalité : france depuis 1952, hongrie (à la naissance)#piersol berverly :, femme#popet yves : reims, 1946, nationalité :france#reinhard ruedi : #ridell torsten : malmö, 1946, nationalité :suède#riel gert : prien, 1941, nationalité :allemagne (avant 1949) #sayler diet : timisoara, 1939, nationalité :roumanie et allemagne#spurey kurt : #staechelein peter : #steller erwin : munich, 1928, nationalité :allemagne#vacossin marie-thérèse : paris, 1929, femme, nationalité :france#wiederkehr gido : #willis marylin :, femme#wu g.y. : shanghai, 1959, nationalité :république populaire de chine#yoshikawa shizuko : omuto, 1934, nationalité :japon;AUTRICHE,FRANCE,ALLEMAGNE,SUISSE,HONGRIE,BELGIQUE,ITALIE,IRAK,HONGRIE,SUEDE,ROUMANIE,REPUBLIQUE POPULAIRE DE CHINE,JAPON;1958-1936-1941-1946-1934-1939-1943-1937-1948-1946-1938-1926-1943-1956-1923-1952-1946-1946-1941-1949-1939-1928-1929-1959-1934;14879
BALZICO ALFONSO;Cava de tirreni, 1825, rome 1901;;1825-1901;17800
BAMANA;;;;13929
BAMBARA;;;;8421
BANDA;;;;17355
BANERJEE RINA;Calcutta (inde), 1963, femme;;1963;10236
BAOULE;;;;12125
BARANOWSKA MARIA;Brwinow, 1928, femme;ITALIE,POLOGNE;1928;12885
BARATTA FRANCESCO;fils de isidoro, sculpteur italien 17e-18e, nationalité : italienne;ITALIE;17-18;22236
BARATTINI ANDRE;;;;34927
BARBEDIENNE;;;;24849
BARBEDIENNE BERNARD;;;;880
BARBEDIENNE FERDINAND;saint-martin-de-fresnay, 1810, paris, 1892;FRANCE;1810-1892;5506
BARBIERO JOSEPH;Trebaselegne, 1901, ?, 1992;FRANCE;1901-1992;11209
BARDEY JEANNE;;FRANCE;;22239
BAREAU GEORGES;;FRANCE;;22243
BAREAU GEORGES MARIE;Paimboeuf, 1866, nantes, 1931;FRANCE;1866-1931;12941
BAREAU GEORGES MARIE VALENTIN;georges bareau, statuaire, sculpteur breton, paimboeuf 1866 - nantes 1931. médaille d'or à l'exposition universelle de 1900, il a réalisé le buste de victor hugo à paris en 1902, de jacques cartier à saint-malo, de jules verne à amiens en 1910;FRANCE;1866-1931-1900-1902-1910;13714
BARELIER ANDRE;Plan-de-cuques, 1934;FRANCE;1934;8625
BARES PIERRE;;FRANCE;;22245
BARNARD GEORGE GREY;;ETATS-UNIS;;22246
BAROIS FRANÇOIS;Paris, 1656, paris, 1726;FRANCE;1656-1726;19885
BARON F B;;FRANCE;;252
BARONE COSIMO;;ITALIE;;22247
BARRAU THEOPHILE EUGENE VICTOR;carcassonne, 1848, paris, 1913;;1848-1913;9468
BARRE;Nantes, 1803, rennes, 1877;FRANCE;1803-1877;12974
BARRE JACQUES JEAN;Paris, 1793-08-03, paris, 1855-06-10;;1793-08-03-1855-06-10;3736
BARRE JEAN AUGUSTE;Paris, 1811, paris, 1896;FRANCE;1811-1896;167
BARRE JEAN BAPTISTE;;FRANCE;;22259
BARRE JEAN JACQUES;Paris, 1793, neuilly-sur-seine, 1855;FRANCE;1793-1855;20823
BARRE PERE;;;;20829
BARRE VINCENT;Vierzon, 1948;FRANCE;1948;6912
BARRE VIRGINIE;quimper, 1970, ?, ?, femme, vit et travaille à douarnenez;FRANCE;1970;12000
BARREAU AUGUSTE MARIE;paris, ?, ?, 1922, nationalité : française;FRANCE;1922;5646
BARRERE ADRIEN;1877, 1931;;1877-1931;18307
BARRES ANNE;rodez, 1938, ?, ?, femme;FRANCE;1938;9103
BARRIAS LOUIS ERNEST;paris, 1841-04-13, paris, 1905-02-04;FRANCE;1841-04-13-1905-02-04;13201
BARTHELEMY BERTRAND JACQUES;;;;34929
