Id;Crea_Maj;Date
0;1;2017-03-23
2;1;2016-03-22
4;1;2008-07-04
5;1;2016-11-17
7;1;2004-05-06
10;1;2017-10-12
14;1;2006-03-31
15;1;2009-04-08
18;1;2002-12-16
20;1;2002-12-13
29;1;2013-10-23
77;1;2013-10-25
138;1;2013-10-28
370;1;2017-05-18
382;1;2010-01-07
383;1;2014-10-09
388;1;2015-02-06
407;1;2014-10-15
510;1;2014-10-14
604;1;2009-05-01
609;1;2007-06-11
619;1;2008-12-09
902;1;2009-09-08
910;1;2015-12-15
914;1;2016-06-07
921;1;2015-09-08
923;1;2014-03-25
933;1;2015-11-12
945;1;2016-05-30
1123;1;2016-05-24
1133;1;2017-02-07
1295;1;2017-02-06
1393;1;2016-05-27
1479;1;2017-02-01
1485;1;2017-02-02
1487;1;2017-01-18
1595;1;2017-01-31
1711;1;2017-01-30
1765;1;2017-01-19
1769;1;2017-06-28
1773;1;2016-10-10
1791;1;2017-09-14
1815;1;2016-09-27
1833;1;2016-10-14
1853;1;2016-10-07
1857;1;2016-02-11
1909;1;2016-10-18
1929;1;2016-02-12
2163;1;2016-05-04
2171;1;2016-04-26
2173;1;2016-04-07
2361;1;2012-07-05
2363;1;2012-11-14
2426;1;2011-12-20
2427;1;2011-12-15
2438;1;2017-07-03
2558;1;2017-06-30
2560;1;2017-07-05
2955;1;2003-09-16
2956;1;2012-06-19
2964;1;2014-02-24
2977;1;2014-02-14
2980;1;2014-03-05
2991;1;2012-06-18
2992;1;2012-08-27
2993;1;2008-12-05
2994;1;2014-07-10
2995;1;2017-05-02
2997;1;2017-05-11
2999;1;2011-10-10
3000;1;2017-12-29
3004;1;2010-01-19
3060;1;2011-01-13
3064;1;2017-12-27
3066;1;2012-09-03
3159;1;2017-05-16
3161;1;2015-12-29
3168;1;2015-12-17
3172;1;2017-05-29
3336;1;2017-05-12
3446;1;2017-12-18
4144;1;2017-12-19
4442;1;2017-12-28
4726;1;2017-12-14
4806;1;2011-03-15
4860;1;2011-03-16
5019;1;2011-03-21
5545;1;2013-01-23
5546;1;2015-06-26
5549;1;2005-07-27
5550;1;2015-04-08
5551;1;2015-12-08
5613;1;2016-10-17
5807;1;2016-10-25
6217;1;2016-10-27
6387;1;2003-01-22
6388;1;2015-07-03
6389;1;2000-11-09
6390;1;2017-10-05
6394;1;2011-03-30
6396;1;2011-04-01
6405;1;2011-02-28
6418;1;2011-02-22
6721;1;2014-05-13
6722;1;2016-07-01
6724;1;2014-11-26
6725;1;2014-11-28
6726;1;2009-01-31
6728;1;2009-01-13
6773;1;2009-09-07
6774;1;2012-08-07
6775;1;2012-05-11
6779;1;2014-02-07
6800;1;2012-08-13
6821;1;2009-06-17
6822;1;2009-08-28
6835;1;2017-06-08
6841;1;2012-02-06
6852;1;2017-03-15
6854;1;2010-02-25
6857;1;2002-10-23
6859;1;2002-10-24
6860;1;2016-01-14
6866;1;2016-01-22
6876;1;2016-01-15
6888;1;2013-08-30
6921;1;2017-06-23
6923;1;2017-02-23
6929;1;2017-04-14
6931;1;2012-05-25
6957;1;2012-07-11
6958;1;2013-05-15
6959;1;2013-05-21
6985;1;2013-05-17
7003;1;2013-05-22
7152;1;2015-01-13
7153;1;2015-01-15
7160;1;2012-02-28
7166;1;2012-10-11
7177;1;2012-10-23
7222;1;2015-08-27
7223;1;2008-12-01
7239;1;2010-10-26
7240;1;2018-01-15
7243;1;2018-01-22
7244;1;2019-05-16
7246;1;2019-03-12
