Id;Crea_Maj;Date
0;1;1996-09-04
13;1;2003-02-17
98;1;1999-08-09
146;1;2016-03-22
148;1;2000-06-16
150;1;2011-12-15
151;1;2015-07-03
152;1;2015-07-06
154;1;2015-07-07
225;1;2003-05-09
227;1;2002-10-21
230;1;2002-10-18
232;1;2004-10-18
234;1;2008-11-14
487;1;2011-03-30
489;1;2009-06-24
508;1;2016-11-17
526;1;2016-11-28
534;1;2012-01-23
540;1;2009-04-08
544;1;2009-04-17
546;1;2009-04-21
547;1;2017-10-20
549;1;2015-03-19
550;1;2002-11-19
551;1;2005-07-11
674;1;2013-10-23
722;1;2013-10-25
783;1;2013-10-28
864;1;2017-05-18
876;1;2006-08-23
877;1;2010-01-07
878;1;2014-10-09
884;1;2015-02-06
911;1;2014-10-15
967;1;2007-11-13
1043;1;2007-11-22
1073;1;2014-10-14
1135;1;2008-08-13
1161;1;2007-06-11
1437;1;2009-05-01
2174;1;2015-01-22
2216;1;2009-09-09
2217;1;2009-09-08
2218;1;2015-09-08
2225;1;2010-11-15
2254;1;2014-10-08
2255;1;2015-12-08
2256;1;2015-05-05
2266;1;2015-08-07
2283;1;2016-06-06
2295;1;2014-10-07
2369;1;2015-11-19
2371;1;2015-11-18
2387;1;2015-08-10
2574;1;2015-05-07
2576;1;2016-06-01
2580;1;2016-11-07
2582;1;2016-05-24
2592;1;2017-02-07
2686;1;2016-05-31
2760;1;2017-02-01
2762;1;2017-11-06
2766;1;2017-01-31
2934;1;2017-01-30
2948;1;2017-01-18
2970;1;2017-02-06
2984;1;2013-11-18
3008;1;2013-11-19
3100;1;2007-09-26
3110;1;2015-06-18
3111;1;2015-05-21
3158;1;2015-06-23
3298;1;2015-07-08
3392;1;2015-09-04
3587;1;2015-09-07
3706;1;2014-08-27
3707;1;2014-08-19
3708;1;2014-08-26
3712;1;2014-08-20
3713;1;2009-04-03
3714;1;2010-11-04
3718;1;2007-03-13
3977;1;2017-06-28
3985;1;2011-02-09
3986;1;2011-02-02
4003;1;2011-02-15
4004;1;2011-06-06
4762;1;2017-10-31
4764;1;2012-02-28
4786;1;2017-09-19
4809;1;2017-10-24
4890;1;2017-10-30
4932;1;2016-02-11
4984;1;2016-10-14
4990;1;2016-10-18
5006;1;2016-02-12
5138;1;2017-10-02
5144;1;2003-02-14
5146;1;2003-01-30
5147;1;2003-02-20
5156;1;2003-02-25
5408;1;2003-02-03
5592;1;2003-07-03
5595;1;2002-03-07
5597;1;2002-05-15
5611;1;2002-05-24
5656;1;2009-03-02
5680;1;2006-10-28
5704;1;2004-09-28
5720;1;2006-05-11
5730;1;2005-10-27
5735;1;2005-12-13
5786;1;2008-02-07
5792;1;2017-01-16
