Id;Crea_Maj;Date
0;1;1993-10-05
33;1;1993-12-27
35;1;1994-10-11
53;1;1995-01-20
54;1;1995-01-24
55;1;1995-04-24
64;1;1995-09-20
155;1;2006-06-14
375;1;1995-10-06
899;1;1995-10-18
1125;1;1995-10-24
1340;1;1995-10-27
1438;1;1995-11-03
1502;1;1995-11-13
1645;1;1995-11-21
1894;1;1995-12-01
2167;1;1996-02-26
2168;1;1996-08-21
2527;1;1996-08-22
2711;1;1996-09-02
2857;1;1996-09-03
2898;1;1996-09-10
3177;1;1996-12-23
3505;1;1996-12-30
3598;1;1997-01-06
3908;1;1997-01-08
4121;1;1997-01-13
4188;1;1997-01-23
4272;1;1997-01-27
4326;1;1997-08-14
4384;1;1999-06-07
4385;1;1999-06-29
4556;1;1999-12-29
4734;1;2000-05-09
4892;1;2000-05-10
5377;1;2000-05-25
5490;1;2014-03-31
5491;1;2017-03-23
5511;1;2014-03-17
5512;1;2013-02-04
5589;1;2013-06-11
5592;1;2013-02-07
5611;1;2017-03-27
5661;1;2017-03-28
5698;1;2014-02-12
5699;1;2016-03-11
5709;1;2016-03-10
5855;1;2014-07-30
5885;1;2014-08-29
5890;1;2008-03-26
5893;1;2008-04-16
5899;1;2008-03-27
6145;1;2008-03-28
6155;1;2008-03-29
6180;1;2008-04-01
6207;1;2008-04-02
6215;1;2008-04-07
6230;1;2008-04-08
6244;1;2008-04-12
9366;1;2017-03-29
9372;1;2006-08-23
9376;1;2002-12-16
9377;1;2012-11-14
9379;1;2012-07-05
9388;1;2015-07-06
9389;1;2003-10-16
9390;1;2015-07-07
9391;1;2015-02-06
9394;1;2015-02-11
9397;1;2015-02-09
9429;1;2003-08-28
9430;1;2010-09-27
9439;1;2003-08-29
9440;1;2011-05-12
9447;1;2000-02-25
9466;1;2003-06-10
9469;1;2003-11-14
9483;1;2002-05-22
9583;1;2001-12-14
9657;1;1999-11-30
9724;1;2010-09-09
9776;1;2009-12-08
9847;1;2011-02-22
9849;1;2010-02-23
9902;1;2010-01-27
9945;1;2010-08-30
10197;1;2010-09-28
10245;1;2010-01-26
10541;1;2002-10-18
10542;1;2005-04-20
10543;1;2005-04-14
10544;1;2003-05-21
10548;1;2003-07-31
10552;1;2004-11-12
10554;1;2014-10-23
10555;1;2014-10-21
10556;1;2007-09-13
10581;1;2010-01-20
10694;1;2008-05-28
10802;1;2012-01-23
10803;1;2012-02-08
10811;1;2009-04-08
10814;1;2017-10-09
10816;1;2009-04-17
10817;1;2009-04-21
10827;1;2017-10-12
10908;1;2017-11-16
10944;1;2017-10-18
11004;1;2017-10-13
11297;1;2017-11-21
11313;1;2017-11-22
11320;1;2017-10-17
11363;1;2017-10-20
11460;1;2015-03-19
11461;1;2002-11-18
11464;1;2006-03-02
11465;1;2005-07-13
11467;1;2015-02-13
11471;1;2014-12-10
11483;1;2015-02-12
11488;1;2012-12-04
11491;1;2015-02-16
11503;1;2012-09-06
11506;1;2014-12-12
11510;1;2014-12-15
11661;1;2017-05-18
11713;1;2015-02-17
11723;1;2015-09-16
11733;1;2008-08-13
11741;1;2010-01-04
11743;1;2010-11-19
11745;1;2009-09-16
11822;1;2009-09-10
11889;1;2011-03-31
11993;1;2010-11-15
11994;1;2015-09-09
11996;1;2014-05-21
11998;1;2015-12-15
12004;1;2014-09-25
