Id;Crea_Maj;Date
1;1;1993-10-05
136;1;1993-12-27
142;1;1994-10-11
165;1;1994-10-26
211;1;1995-01-06
213;1;1995-01-24
218;1;1995-04-24
227;1;1995-11-07
310;1;1996-02-26
318;1;1996-03-15
319;1;1998-12-29
401;1;1999-05-27
634;1;1999-06-07
757;1;1999-09-28
832;1;1999-11-17
842;1;1999-12-21
1050;1;2000-05-09
1051;1;2000-05-08
1052;1;2010-11-16
1053;1;1999-12-07
1073;1;2007-06-15
1080;1;2004-04-27
1081;1;2007-07-05
1084;1;2011-05-04
1088;1;1999-03-01
1170;1;2007-02-01
1702;1;2008-07-22
1703;1;2017-03-28
1705;1;2017-03-23
1707;1;2017-12-07
1755;1;2008-04-02
1756;1;2008-03-26
1777;1;2008-03-29
1816;1;2008-03-27
1971;1;2008-03-28
2107;1;2008-04-01
2315;1;2008-04-08
2359;1;2008-04-07
2454;1;2008-04-12
2497;1;2008-04-16
3334;1;2011-06-08
3335;1;2017-03-29
3364;1;2011-06-09
3367;1;2014-03-31
3572;1;2006-08-23
3573;1;2011-06-07
3608;1;2014-05-07
3609;1;2002-12-16
3611;1;2010-11-02
3612;1;2015-07-06
3614;1;2015-07-03
3615;1;2015-02-06
3642;1;2015-07-07
3650;1;2001-11-29
3651;1;2011-05-12
3652;1;2011-02-22
3653;1;2003-11-28
3654;1;2011-06-10
3656;1;2003-11-21
3657;1;2003-10-23
3663;1;2003-10-10
3668;1;2001-12-14
3676;1;2003-11-14
3677;1;1999-11-30
3678;1;2003-04-22
3712;1;2003-09-15
3719;1;2004-04-30
3733;1;2004-09-27
3740;1;2002-02-16
3747;1;2001-11-27
3760;1;2003-03-11
3950;1;2010-09-09
3952;1;2010-02-23
3954;1;2010-09-27
3956;1;2010-09-28
3961;1;2010-08-30
4011;1;2010-01-26
4062;1;2011-02-28
4092;1;2006-05-12
4094;1;2003-05-21
4095;1;2009-08-05
4105;1;2014-10-23
4108;1;2014-10-21
4110;1;2003-07-31
4116;1;2014-10-22
4156;1;2009-03-27
4163;1;2009-07-07
4165;1;2004-07-09
4212;1;2004-07-30
4214;1;2004-11-12
4226;1;2014-10-17
4422;1;2010-01-20
4684;1;2009-03-31
4720;1;2016-09-23
4740;1;2016-11-17
4742;1;2012-01-23
4841;1;2009-04-17
4842;1;2009-04-21
4843;1;2003-01-31
4847;1;2009-04-08
4876;1;2017-11-27
4896;1;2017-11-13
4905;1;2017-10-09
5260;1;2017-10-12
5265;1;2017-11-28
5385;1;2017-11-29
5488;1;2017-11-14
5548;1;2017-11-30
5758;1;2017-12-04
5835;1;2017-11-15
5956;1;2017-10-18
5958;1;2017-11-16
5979;1;2017-10-13
6051;1;2017-11-17
6089;1;2017-11-20
6147;1;2017-11-21
6243;1;2017-11-22
6302;1;2017-10-20
6365;1;2015-03-19
6367;1;2002-12-17
6384;1;2002-11-18
6386;1;2011-12-23
6387;1;2005-07-13
6390;1;2013-07-12
6392;1;2014-01-29
6440;1;2012-12-04
6444;1;2012-11-30
6458;1;2012-09-06
6583;1;2008-08-13
6628;1;2010-01-04
6680;1;2015-01-22
6715;1;2009-09-25
6716;1;2009-09-22
6724;1;2009-09-26
6761;1;2009-09-21
6825;1;2010-11-15
7006;1;2009-09-16
7008;1;2015-09-21
7156;1;2015-12-15
7165;1;2011-03-31
7168;1;2016-06-06
7172;1;2014-09-25
7194;1;2016-04-18
7200;1;2016-04-15
7219;1;2015-09-08
7232;1;2014-03-26
7301;1;2015-09-09
7310;1;2015-12-08
7368;1;2016-05-27
7404;1;2016-06-07
7406;1;2017-02-02
7420;1;2017-01-18
7430;1;2017-01-31
7442;1;2017-02-06
7454;1;2013-10-07
7459;1;2013-10-08
7505;1;2013-11-15
7530;1;2007-11-29
7531;1;2003-06-30
7532;1;2003-06-26
7544;1;2005-11-03
7550;1;2013-03-13
7571;1;2007-09-26
7660;1;2009-11-10
7671;1;2017-06-28
7681;1;2005-03-31
7818;1;2013-06-05
7947;1;2015-06-24
7949;1;2013-05-29
7954;1;2013-05-31
7965;1;2017-12-12
8007;1;2016-02-18
8015;1;2016-02-19
8110;1;2012-05-23
