Id;Crea_Maj;Date
0;1;1999-05-27
488;1;1999-05-28
552;1;1999-09-15
1322;1;1999-11-17
1350;1;2017-03-23
1354;1;2017-03-28
1358;1;2008-03-27
1359;1;2008-03-29
1360;1;2008-04-01
1361;1;2008-04-16
1370;1;2008-04-02
1375;1;2008-04-08
1381;1;2008-04-07
1382;1;2008-03-26
1384;1;2008-04-12
1401;1;2008-03-28
4326;1;2016-11-04
4332;1;2016-11-07
4350;1;2013-04-22
4369;1;2011-06-30
4532;1;2011-11-07
4870;1;2012-04-25
5364;1;2014-04-28
6429;1;2015-02-09
6563;1;2013-04-16
6839;1;2013-04-23
7551;1;2016-11-21
8435;1;2010-09-09
8436;1;2010-01-27
8437;1;2010-09-28
8438;1;2010-08-30
8444;1;2005-04-20
8450;1;2008-05-28
8453;1;2012-01-23
8462;1;2012-02-08
8486;1;2009-04-17
8487;1;2009-04-08
8488;1;2017-10-13
8490;1;2017-10-17
8494;1;2017-10-18
8496;1;2017-10-20
8510;1;2017-11-22
8538;1;2015-03-19
8555;1;2011-12-23
8556;1;2002-11-14
8561;1;2005-07-13
8567;1;2005-07-12
8570;1;2006-03-08
8628;1;2015-09-16
8630;1;2015-02-13
8664;1;2017-01-31
8668;1;2017-01-18
8672;1;2017-02-06
8682;1;2014-04-23
8692;1;2014-04-24
8695;1;2014-04-25
8712;1;2009-11-17
8713;1;2009-11-19
8991;1;2016-12-26
9005;1;2017-09-26
9011;1;2017-09-01
9013;1;2017-09-04
9029;1;2016-09-27
9031;1;2017-09-21
9033;1;2017-09-25
9255;1;2017-09-05
9373;1;2017-09-06
9375;1;2017-09-27
9385;1;2017-09-22
9505;1;2014-04-07
9506;1;2002-03-07
9507;1;2002-07-19
9508;1;2002-05-30
9513;1;2003-07-03
9515;1;2008-02-07
9516;1;2016-04-08
9518;1;2014-08-26
9539;1;2016-05-10
9541;1;2004-03-04
9584;1;2004-03-12
9632;1;2014-08-06
9745;1;2015-05-04
9773;1;2015-03-26
9832;1;2012-02-16
9833;1;2015-03-05
9836;1;2014-09-25
9837;1;2014-11-24
9862;1;2017-09-18
9864;1;2017-11-28
9892;1;2016-07-05
9894;1;2008-12-17
10399;1;2014-08-01
10411;1;2007-09-07
10596;1;2009-11-04
10840;1;2013-02-27
10841;1;2010-04-16
10842;1;2016-12-19
10844;1;2017-01-04
10848;1;2016-12-12
10850;1;2016-12-27
10856;1;2017-01-02
10896;1;2016-12-28
10906;1;2016-03-14
11006;1;2015-05-19
11008;1;2015-05-21
11444;1;2008-09-09
11446;1;2008-09-02
11447;1;2008-09-04
11476;1;2008-09-11
11483;1;2008-09-10
11487;1;2017-10-06
11495;1;2014-01-24
11497;1;2014-05-13
11505;1;2013-06-28
11506;1;2009-05-15
11512;1;2017-08-22
11518;1;2017-08-24
11534;1;2016-07-06
11536;1;2013-02-13
11555;1;2014-11-28
11560;1;2014-11-27
11577;1;2006-09-05
11578;1;2005-08-25
11579;1;2006-09-22
11582;1;2005-08-23
11605;1;2009-01-24
11606;1;2002-11-25
11612;1;2010-11-25
11613;1;2007-08-16
11614;1;2009-01-08
11732;1;2017-09-13
11734;1;2006-11-06
11737;1;2004-03-22
11740;1;2011-04-05
11775;1;2007-07-11
11784;1;2011-10-07
11785;1;2007-09-26
11786;1;2007-09-11
11794;1;2007-09-12
11797;1;2007-09-13
11804;1;2007-09-14
11811;1;2007-09-19
11957;1;2013-06-21
11971;1;2016-01-19
12108;1;2016-01-21
12110;1;2016-01-11
12158;1;2010-08-17
12159;1;2010-08-16
12475;1;2009-08-28
12476;1;2013-02-21
12488;1;2013-02-22
12530;1;2010-11-10
12531;1;2011-10-10
12543;1;2014-12-15
12601;1;2014-12-16
12610;1;2014-12-08
12652;1;2012-08-01
12656;1;2016-02-08
12664;1;2013-04-15
12769;1;2008-04-17
13156;1;2008-04-24
13169;1;2017-03-15
13171;1;2008-02-27
13172;1;2007-10-31
13192;1;2007-11-12
13572;1;2010-02-25
13582;1;1999-02-01
13585;1;1999-03-01
13703;1;2005-05-30
13706;1;2007-09-06
13725;1;2016-03-15
13727;1;2016-04-26
13731;1;2016-02-01
13743;1;2016-02-09
13745;1;2016-03-18
13846;1;2017-03-10
13864;1;2008-07-04
13917;1;2008-08-26
13959;1;2008-08-14
13980;1;2015-03-03
13981;1;2006-09-08
14222;1;2000-05-11
14225;1;2002-06-03
14450;1;2002-06-13
14490;1;2000-07-07
14652;1;2001-12-04
14950;1;2001-12-05
15046;1;2001-12-13
15104;1;2002-05-14
15223;1;2002-05-27
15338;1;2002-05-21
15524;1;2002-05-24
15689;1;2001-10-11
15734;1;2001-11-23
15827;1;2001-11-06
15830;1;2002-05-15
15934;1;2001-11-21
15940;1;2004-08-10
16108;1;2001-11-20
16276;1;2001-10-15
16489;1;2001-10-30
16960;1;2001-09-18
17224;1;2001-10-05
17302;1;2000-07-12
17352;1;2000-07-18
17672;1;2001-10-09
17804;1;2001-10-12
19305;1;2001-11-19
19470;1;2010-06-28
19472;1;2002-06-25
19575;1;2002-07-08
19662;1;2002-07-23
19730;1;2002-07-01
19732;1;2004-05-07
20024;1;2002-07-18
20270;1;2004-05-11
20283;1;2002-06-17
20402;1;2004-05-12
20478;1;2004-05-13
20710;1;2002-07-03
20891;1;2002-07-30
20952;1;2002-07-31
20991;1;2002-07-29
20993;1;2002-06-28
21145;1;2001-07-26
21146;1;2005-10-04
22371;1;2005-10-06
22751;1;2005-10-05
22793;1;2005-10-14
23370;1;2008-02-15
23371;1;2016-08-26
23373;1;2014-01-16
23387;1;2010-05-06
23454;1;2015-04-27
23485;1;2007-12-18
23537;1;2005-08-29
23538;1;2005-09-28
23545;1;2005-09-27
23546;1;2005-12-26
23547;1;2005-11-17
23554;1;2005-12-07
23556;1;2005-09-22
23572;1;2005-09-23
23573;1;2005-12-27
23579;1;2005-10-17
23589;1;2005-07-15
23590;1;2005-08-24
23591;1;2005-08-31
23593;1;2005-12-15
23597;1;2005-09-08
23598;1;2005-09-06
23602;1;2005-09-13
23609;1;1999-07-30
23612;1;1999-05-31
23693;1;2013-10-28
23694;1;2008-05-16
23696;1;2008-05-07
23698;1;2010-04-15
23699;1;2010-04-30
23700;1;2010-05-04
23744;1;2004-03-26
23746;1;2010-01-15
23757;1;2011-01-17
23810;1;2013-10-17
23900;1;2014-06-30
23930;1;2014-06-24
23934;1;2015-01-23
23981;1;2015-06-19
24082;1;2015-06-23
24117;1;2015-06-22
24247;1;2015-06-24
24334;1;2015-05-28
24335;1;2015-12-17
24336;1;2017-05-29
24544;1;2017-12-14
24550;1;2017-11-23
24552;1;2011-04-06
24562;1;2007-11-28
24566;1;2015-06-17
24576;1;2015-11-10
24588;1;2015-06-18
24589;1;2013-07-18
24602;1;2015-08-27
24609;1;2013-03-20
24766;1;2016-11-29
25117;1;2014-10-27
25197;1;2015-12-07
25204;1;2014-09-16
25225;1;2016-12-08
25494;1;2017-06-09
25586;1;2017-10-23
25598;1;2017-05-17
25616;1;2014-08-11
25619;1;2012-02-22
25622;1;2002-02-19
25626;1;2011-12-20
25627;1;2014-02-04
25776;1;2012-11-14
25800;1;2012-12-03
25840;1;2012-11-15
26035;1;2010-10-08
26040;1;2010-10-15
26044;1;2008-05-30
26045;1;2009-03-02
26047;1;2011-11-09
26048;1;2011-10-19
26069;1;2008-06-17
26072;1;2010-10-18
26077;1;2009-01-05
26242;1;2017-02-17
26278;1;2017-02-20
26320;1;2013-08-02
26323;1;2014-09-09
26341;1;2012-02-20
26385;1;2014-10-08
26806;1;2014-10-14
26810;1;2012-03-09
26834;1;2017-12-05
26966;1;2016-08-02
27008;1;2010-10-07
27009;1;2011-12-12
27011;1;2008-03-18
27157;1;2008-07-09
27193;1;2008-07-08
27267;1;2008-07-12
27373;1;2008-07-21
27525;1;2008-07-11
27949;1;2008-07-10
28437;1;2008-06-16
28478;1;2008-06-13
28490;1;2008-06-18
28969;1;2008-06-01
30205;1;2008-02-04
30206;1;2010-01-06
30207;1;2008-10-15
30215;1;2008-07-02
30262;1;2009-02-02
30275;1;2009-03-03
30351;1;2010-03-12
30371;1;2014-01-29
30373;1;2015-08-28
30404;1;2008-04-09
30427;1;2009-05-12
30429;1;2009-01-09
30629;1;2000-08-03
30669;1;2010-03-15
30679;1;2010-08-13
30736;1;2011-03-30
30737;1;2011-03-28
30740;1;2011-12-02
30763;1;2011-05-18
30795;1;2010-10-20
30802;1;2010-12-23
31449;1;2011-12-05
31649;1;2011-10-06
31650;1;2011-10-05
31849;1;2011-10-11
32050;1;2012-08-03
32238;1;2011-12-16
32243;1;2012-04-20
32435;1;2012-04-23
32876;1;2017-07-27
32882;1;2009-01-20
32893;1;2016-05-20
32907;1;2008-12-01
33081;1;2020-03-30
33083;1;2019-10-16
33085;1;2020-07-16
33088;1;2019-11-28
33089;1;2018-05-22
33094;1;2018-05-18
33096;1;2019-04-23
33097;1;2019-05-16
33098;1;2019-10-14
33114;1;2020-10-16
33121;1;2020-01-27
33122;1;2019-05-13
33145;1;2019-07-11
33156;1;2020-04-07
33190;1;2020-02-25
33195;1;2019-12-05
33199;1;2019-07-05
33200;1;2019-11-19
33202;1;2020-12-01
33203;1;2019-02-21
33205;1;2020-10-13
33212;1;2019-12-23
33515;1;2020-03-25
33516;1;2020-03-20
33537;1;2018-01-15
33697;1;2020-10-30
33721;1;2020-05-29
33722;1;2021-01-26
33746;1;2018-02-14
33752;1;2020-05-19
33755;1;2020-11-05
33763;1;2020-01-28
33767;1;2020-12-15
33819;1;2020-11-13
33898;1;2018-12-13
33982;1;2020-02-13
33992;1;2018-04-05
34012;1;2018-01-23
34019;1;2020-11-12
34035;1;2020-09-24
34076;1;2020-01-31
34105;1;2020-04-29
34108;1;2019-02-28
34132;1;2021-01-05
34141;1;2019-05-09
