Id;Crea_Maj;Date
0;1;2007-06-15
28;1;2003-07-30
61;1;1999-09-10
73;1;1999-03-01
296;1;2002-06-19
297;1;2003-02-17
302;1;2011-06-15
303;1;2011-05-19
304;1;2011-05-20
307;1;2011-06-23
308;1;2012-04-26
309;1;2014-03-28
311;1;2014-03-31
312;1;2017-06-08
314;1;2003-01-07
317;1;2010-07-12
319;1;2017-02-22
325;1;2011-03-08
416;1;1999-07-28
611;1;1999-08-09
613;1;2017-06-01
615;1;2003-08-20
616;1;2008-04-14
627;1;2008-07-04
649;1;2008-08-20
653;1;2008-08-26
682;1;2008-08-14
683;1;2016-06-09
689;1;2015-03-31
692;1;2012-01-23
749;1;2009-04-21
750;1;2017-10-12
752;1;2009-04-08
756;1;2009-04-17
770;1;2017-10-18
772;1;2017-11-16
775;1;2017-10-13
817;1;2017-11-22
835;1;2017-10-17
850;1;2017-10-20
890;1;2002-12-17
899;1;2007-07-13
900;1;2006-03-02
907;1;2015-03-19
955;1;2005-07-13
957;1;2016-11-30
959;1;2016-11-28
1189;1;2014-03-21
1226;1;2014-03-24
1466;1;2007-11-22
1526;1;2007-12-05
1546;1;2007-12-07
1572;1;2008-12-09
1703;1;2010-01-07
1704;1;2015-01-22
1727;1;2008-03-26
1745;1;2008-03-27
1783;1;2008-03-28
1785;1;2008-03-29
1796;1;2008-04-01
1820;1;2008-04-02
1835;1;2008-04-07
1842;1;2008-04-08
1853;1;2008-04-12
1883;1;2008-04-16
2250;1;2014-07-22
2336;1;2014-07-24
2424;1;2014-07-25
2469;1;2009-09-09
2499;1;2015-08-13
2511;1;2010-11-15
2514;1;2015-12-15
2516;1;2015-12-08
2521;1;2015-12-09
2522;1;2015-12-10
2523;1;2015-12-11
2552;1;2015-05-05
2554;1;2014-03-25
2558;1;2015-05-07
2559;1;2015-05-11
2562;1;2015-11-19
2568;1;2015-08-12
2569;1;2014-10-08
2584;1;2015-11-12
2593;1;2015-08-11
2595;1;2015-08-14
2659;1;2015-09-21
2662;1;2014-09-25
2664;1;2015-09-09
2687;1;2016-05-26
2694;1;2016-06-06
2736;1;2015-03-18
2751;1;2015-06-03
2828;1;2015-11-09
2830;1;2015-11-16
3238;1;2016-05-31
3242;1;2016-05-30
3244;1;2016-11-09
3246;1;2016-11-07
3250;1;2016-11-14
3254;1;2016-11-10
3384;1;2016-04-26
3400;1;2016-06-01
3426;1;2017-02-07
3470;1;2016-05-27
3494;1;2017-02-06
3536;1;2017-11-06
3654;1;2017-11-09
3660;1;2017-01-31
3662;1;2017-01-18
3670;1;2013-10-09
3701;1;2013-11-18
3730;1;2013-10-08
3776;1;2017-08-28
3800;1;2017-08-25
3804;1;2017-08-24
3862;1;2017-08-29
4120;1;2009-05-04
4125;1;2004-09-02
4151;1;2005-07-05
4189;1;2004-09-15
4244;1;2005-03-31
4265;1;2008-12-10
4397;1;2007-01-23
4567;1;2015-06-24
4568;1;2004-12-16
4687;1;2017-06-28
4690;1;2003-12-12
4980;1;2006-09-22
4981;1;2007-10-16
5018;1;2009-04-03
5022;1;2007-07-18
5099;1;2011-02-15
5136;1;2012-05-23
5157;1;2011-12-07
5175;1;2006-01-10
5203;1;2017-10-31
5205;1;2016-09-27
5221;1;2016-10-18
5245;1;2003-12-11
5300;1;2016-10-07
5302;1;2016-10-10
5304;1;2017-09-19
5331;1;2016-05-04
5354;1;2017-09-27
5386;1;2017-09-22
5392;1;2017-09-28
5400;1;2017-09-21
5414;1;2016-10-14
5444;1;2017-09-25
5462;1;2016-02-01
5496;1;2016-02-11
5506;1;2016-02-17
5762;1;2014-04-07
5763;1;2017-06-12
5771;1;2002-05-24
5778;1;2002-03-07
5863;1;2002-05-30
5903;1;2011-11-30
5904;1;2010-02-19
5908;1;2008-02-07
5942;1;2005-10-27
6006;1;2012-03-14
6008;1;2009-03-02
6018;1;2011-02-09
6050;1;2005-12-13
6088;1;2016-04-07
6090;1;2016-04-08
6092;1;2016-04-14
6098;1;2016-04-11
6296;1;2011-04-13
6303;1;2011-03-29
6342;1;2015-11-24
6347;1;2017-09-29
6383;1;2011-03-17
6408;1;2015-05-19
6409;1;2012-10-23
6410;1;2012-10-18
6411;1;2012-10-24
6412;1;2016-09-30
6414;1;2016-10-03
6430;1;2012-10-22
6515;1;2012-11-30
6520;1;2015-05-26
6535;1;2016-09-13
6537;1;2012-01-16
6543;1;2015-03-05
6548;1;2014-11-24
6558;1;2009-04-28
6571;1;2017-03-08
6573;1;2015-01-29
6695;1;2017-11-28
6739;1;2016-07-05
6745;1;2010-05-10
6797;1;2008-12-17
6878;1;2007-11-06
6881;1;2015-10-20
6882;1;2009-05-20
6883;1;2007-09-07
6954;1;2015-11-13
6955;1;2016-02-02
6959;1;2016-02-04
6961;1;2004-12-23
