;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
0;10700004028;anonyme;1990;Papier peint,fragment;;2017-03-23;arts décoratifs,estampe;;;France (lieu de création);;M1070;;4e quart 18e siècle;;impression à la planche, photographie couleur, papier;;1990;;Papier peint,fragment;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ESTAMPE;ARTS DÉCORATIFS;ESTAMPE;;;
2;107815;FRAGONARD Alexandre Evariste (dessinateur),manufacture de Sèvres;1838;Vase;;2016-03-22;arts décoratifs,céramique;France;ÉPOQUE RESTAURATION;;1822 ENTRE,1832 ET;M5013;Fragonard : grasse, 1780-10, paris, 1850-11-10;1ère moitié 19e siècle;figure mythologique (statue : Jupiter, assis),scène (Phidias, visite, cortège, spectateur, homme, Grec, à l'antique);bas-relief, biscuit, bronze (doré);Vase Médicis grandeur extraordinaire, dit Vase de Phidias;1838;RESTAURATION;Vase;FRANCE;grasse, 1780-10, paris, 1850-11-10;1780-10-1850-11-10;VASE MEDICIS GRANDEUR EXTRAORDINAIRE, DIT VASE DE PHIDIAS;FRAGONARD ALEXANDRE EVARISTE ,MANUFACTURE DE SEVRES;FRAGONARD ALEXANDRE EVARISTE;MANUFACTURE DE SEVRES;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
4;11060000541;TOUN Kimura;1896;Brûle-parfum;;2008-07-04;arts décoratifs,vie domestique,Asie orientale;Japon;;Japon,Tokyo (lieu d'utilisation);;M1106;Actif 1ère moitié du 19e siècle;1ère moitié 19e siècle;représentation animalière (dragon, phénix, brûle-parfum);bronze;Dragon enserrant un brûle-parfum sphérique à décor de phénix en bronze, Japon;1896;;Brûle-parfum;JAPON;Actif 1ère moitié du 19e siècle;1-19;DRAGON ENSERRANT UN BRULE-PARFUM SPHERIQUE A DECOR DE PHENIX EN BRONZE, JAPON;TOUN KIMURA;TOUN KIMURA;;;;;;;ARTS DÉCORATIFS,VIE DOMESTIQUE,ASIE ORIENTALE;ARTS DÉCORATIFS;VIE DOMESTIQUE;ASIE ORIENTALE;;
5;1230002742;;2004 acquis;Pot à pharmacie;2019-04-09;2016-11-17;céramique,temps modernes,hygiène - médecine - santé,arts décoratifs;Italie;;Europe,Italie,Sicile (lieu d'exécution);;M0123;;17e siècle;ornementation (fleur);terre cuite (faïence, peint, décor de grand feu, polychrome);;2004;;Pot à pharmacie;ITALIE;;;;INCONNU;INCONNU;;;;;;;CÉRAMIQUE,TEMPS MODERNES,HYGIÈNE - MÉDECINE - SANTÉ,ARTS DÉCORATIFS;CÉRAMIQUE;TEMPS MODERNES;HYGIÈNE - MÉDECINE - SANTÉ;ARTS DÉCORATIFS;
7;1370006824;MAITRE I C (auteur);1799;Coupe (à pied);2020-09-10;2004-05-06;arts décoratifs,émaillerie,croyances - coutumes;France;ÉPOQUE RENAISSANCE;France,Nouvelle-Aquitaine,Haute-Vienne,Limoges (lieu de création);;M0137;Maitre i c : jean de court ?, actif à limoges entre 1553 et 1585, nationalité : française;4e quart 16e siècle;scène biblique (Paradis terrestre, L'arbre de vie, Adam, Eve, nu, Le serpent d'Eden, chien, ours, écureuil, renard, bovin, capridé, cerf, fleuve, arbre),ornementation (grotesque, cuir orn, terme orn, fleur de lys);émail (peint), grisaille, rehaut, rose, cuivre;Adam et Eve dans le Paradis terrestre, Décor de grotesques (au revers et sur le pied);1799;RENAISSANCE;Coupe à pied;FRANCE;jean de court ?, actif à limoges entre 1553 et 1585, nationalité : française;1553-1585;ADAM ET EVE DANS LE PARADIS TERRESTRE, DECOR DE GROTESQUES (AU REVERS ET SUR LE PIED);MAITRE I C;MAITRE I C;;;;;;;ARTS DÉCORATIFS,ÉMAILLERIE,CROYANCES - COUTUMES;ARTS DÉCORATIFS;ÉMAILLERIE;CROYANCES - COUTUMES;;
8;1370006973;PENICAUD Pierre (attribué à);1799 vers;Assiette;2020-09-10;2004-05-06;arts décoratifs,émaillerie;France;ÉPOQUE RENAISSANCE;France,Nouvelle-Aquitaine,Haute-Vienne,Limoges (lieu de création);;M0137;Penicaud : limoges, 1515, limoges, 1590, nationalité : française;2e moitié 16e siècle;scène (allégorie, novembre, femme, assis, tonte, brebis, transformation des plantes, chanvre, paysan, homme, battage, blé, grange, dans les airs, le sagittaire),ornementation (figures, arabesque),ornementation (tête, homme, moustache, de profil, gauche, grotesque, mascaron orn, arabesque);émail (peint), grisaille, rehaut d'or, rehaut (brun), cuivre;Le Mois de novembre (la tonte des moutons et le signe du Sagittaire), Profil d'homme et décor de grotesques (au revers);1799;RENAISSANCE;Assiette;FRANCE;limoges, 1515, limoges, 1590, nationalité : française;1515-1590;LE MOIS DE NOVEMBRE (LA TONTE DES MOUTONS ET LE SIGNE DU SAGITTAIRE), PROFIL D'HOMME ET DECOR DE GROTESQUES (AU REVERS);PENICAUD PIERRE;PENICAUD PIERRE;;;;;;;ARTS DÉCORATIFS,ÉMAILLERIE;ARTS DÉCORATIFS;ÉMAILLERIE;;;
9;1370007057;anonyme (auteur);1878;Coffret;2020-09-10;2004-05-06;arts décoratifs,émaillerie;France;ÉPOQUE RENAISSANCE;France,Nouvelle-Aquitaine,Haute-Vienne,Limoges (lieu de création);;M0137;;2e moitié 16e siècle;figure mythologique (Déjanire, femme, de profil, droit, coiffure, signe alphabétique),figure mythologique (Hercule, homme, de profil, gauche, moustache, couronne, laurier, signe alphabétique),ornementation (fleurette, feuillage orn),figures mythologiques (Déjanire, Hercule),figures mythologiques (Héra, Aphrodite, Athéna),figures mythologiques (Pâris myth, Déjanire),scène mythologique (Déjanire, Hercule),ornementation (fleur orn, soleil orn);émail (peint, polychrome), rehaut d'or, cuivre;Hercule et Déjanire;1878;RENAISSANCE;Coffret;FRANCE;;;HERCULE ET DEJANIRE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ÉMAILLERIE;ARTS DÉCORATIFS;ÉMAILLERIE;;;
10;1370007522;BRUNOT Mathieu (orfèvre);1998;Ensemble (6, cuiller);2020-09-09;2017-10-12;arts décoratifs,orfèvrerie,vie domestique;France;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu de création);1738,1739;M0137;Brunot : dijon, 1707, dijon, 1782, nationalité : française;2e quart 18e siècle;;argent, ciselé, gravé;;1998;;Ensemble 6, cuiller;FRANCE;dijon, 1707, dijon, 1782, nationalité : française;1707-1782;;BRUNOT MATHIEU;BRUNOT MATHIEU;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE,VIE DOMESTIQUE;ARTS DÉCORATIFS;ORFÈVRERIE;VIE DOMESTIQUE;;
12;1370007528;BRUNOT Mathieu (orfèvre);1998;Ensemble (6, fourchette);2020-09-09;2017-10-12;arts décoratifs,orfèvrerie,vie domestique;France;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu de création);1738,1739;M0137;Brunot : dijon, 1707, dijon, 1782, nationalité : française;2e quart 18e siècle;;argent, ciselé, gravé;;1998;;Ensemble 6, fourchette;FRANCE;dijon, 1707, dijon, 1782, nationalité : française;1707-1782;;BRUNOT MATHIEU;BRUNOT MATHIEU;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE,VIE DOMESTIQUE;ARTS DÉCORATIFS;ORFÈVRERIE;VIE DOMESTIQUE;;
14;1370013936;GALLE Emile (verrier);1976;Vase;2020-09-09;2006-03-31;verrerie,arts décoratifs;France;ART NOUVEAU;France,Grand Est,Meurthe-et-Moselle,Nancy (lieu de création);1900;M0137;Galle : nancy, 1846, nancy, 1904, nationalité : française;4e quart 19e siècle;ornementation (bouquet, fleur),paysage (volcan);cristal, gravé;;1976;ART NOUVEAU;Vase;FRANCE;nancy, 1846, nancy, 1904, nationalité : française;1846-1904;;GALLE EMILE;GALLE EMILE;;;;;;;VERRERIE,ARTS DÉCORATIFS;VERRERIE;ARTS DÉCORATIFS;;;
15;1370025136;HAJDU Etienne (auteur),manufacture de Sèvres (manufacture);1986;Plat;2018-05-14;2009-04-08;arts décoratifs,céramique;France;;;1970;M0137;Hajdu : turda, 1907, bagneux, 1996, nationalité : française;3e quart 20e siècle;représentation non figurative;porcelaine;;1986;;Plat;FRANCE;turda, 1907, bagneux, 1996, nationalité : française;1907-1996;;HAJDU ETIENNE ,MANUFACTURE DE SEVRES;HAJDU ETIENNE;MANUFACTURE DE SEVRES;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
